qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
18.0,12.99,490.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
2.0,12.5,585.0,525.0,100.0,0,0,0,0,0,1,0,0,0,0
2.0,12.5,585.0,525.0,100.0,0,0,0,0,0,1,0,0,0,0
4.0,14.5,650.0,630.0,25.0,0,0,0,0,0,1,0,0,0,0
4.0,14.5,650.0,630.0,25.0,0,0,0,0,0,1,0,0,0,0
48.0,22.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
48.0,21.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
48.0,22.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
48.0,21.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
18.0,7.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,12.5,1665.0,420.0,48.0,0,0,0,0,0,1,0,0,0,0
18.0,7.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,12.5,1665.0,420.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,21.5,440.0,515.0,25.0,1,0,0,0,0,0,0,0,0,0
4.0,8.15,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
8.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
12.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
12.0,14.5,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
12.0,14.0,492.0,492.0,25.0,0,0,0,0,0,0,0,0,1,0
12.0,14.75,492.0,492.0,25.0,1,0,0,0,0,0,0,0,0,0
4.0,8.15,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
36.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
8.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
12.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
12.0,14.5,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
12.0,14.0,492.0,492.0,25.0,0,0,0,0,0,0,0,0,1,0
12.0,14.75,492.0,492.0,25.0,1,0,0,0,0,0,0,0,0,0
3.0,42.5,415.0,355.0,48.0,1,0,0,0,0,0,0,0,0,0
2.0,9.5,415.0,355.0,45.0,0,0,0,0,0,1,0,0,0,0
3.0,42.5,415.0,355.0,48.0,1,0,0,0,0,0,0,0,0,0
2.0,9.5,415.0,355.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,7.5,530.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
4.0,7.7,625.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,8.0,525.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,7.0,415.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,7.0,420.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.0,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.0,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,7.0,510.0,365.0,40.0,0,0,0,0,0,1,0,0,0,0
3.0,8.0,740.0,345.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,9.0,725.0,505.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.0,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,8.5,725.0,510.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.0,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,7.0,625.0,360.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.5,740.0,520.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,7.0,620.0,360.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.0,645.0,425.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,8.5,720.0,510.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,8.5,725.0,505.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.5,740.0,515.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,17.5,1050.0,735.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.5,740.0,520.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.5,720.0,515.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,8.25,530.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
4.0,8.25,625.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,8.8,525.0,465.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,7.5,415.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,7.5,420.0,390.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.95,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.95,750.0,550.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,7.5,510.0,365.0,40.0,0,0,0,0,0,1,0,0,0,0
3.0,8.5,740.0,345.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,9.95,725.0,505.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.95,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,8.9,725.0,510.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.95,750.0,555.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,7.8,625.0,360.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.25,740.0,520.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,7.75,620.0,360.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,8.5,645.0,425.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,9.25,720.0,510.0,40.0,0,0,0,0,0,1,0,0,0,0
1.0,9.25,725.0,505.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.5,740.0,515.0,45.0,0,0,0,0,0,1,0,0,0,0
1.0,22.5,1050.0,735.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.5,740.0,520.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,9.5,720.0,515.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,17.5,1050.0,650.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,17.5,1060.0,650.0,45.0,0,0,0,0,0,1,0,0,0,0
2.0,28.5,500.0,380.0,150.0,0,0,0,0,0,1,0,0,0,0
2.0,25.5,340.0,290.0,150.0,0,0,0,0,0,1,0,0,0,0
3.0,11.5,592.0,892.0,50.0,0,0,0,0,0,1,0,0,0,0
2.0,6.5,287.0,592.0,50.0,0,0,0,0,0,1,0,0,0,0
1.0,8.75,287.0,892.0,50.0,0,0,0,0,0,1,0,0,0,0
3.0,27.5,592.0,892.0,25.0,0,0,1,0,0,0,0,0,0,0
2.0,12.9,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
1.0,15.5,892.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
2.0,10.5,287.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
8.0,12.99,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
8.0,10.99,287.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
4.0,14.0,287.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
16.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
16.0,14.99,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
2.0,15.5,592.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
2.0,12.5,287.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
4.0,11.5,592.0,592.0,20.0,0,0,0,0,0,1,0,0,0,0
4.0,10.5,287.0,592.0,20.0,0,0,0,0,0,1,0,0,0,0
4.0,15.5,592.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
6.0,15.0,592.0,592.0,20.0,0,0,0,0,0,0,0,0,1,0
2.0,12.0,287.0,592.0,20.0,0,0,0,0,0,0,0,0,1,0
1.0,12.5,287.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,14.5,437.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,14.5,437.0,287.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,12.99,287.0,592.0,20.0,0,0,1,0,0,0,0,0,0,0
1.0,16.0,437.0,592.0,20.0,0,0,1,0,0,0,0,0,0,0
1.0,16.0,437.0,287.0,20.0,0,0,1,0,0,0,0,0,0,0
1.0,12.0,287.0,592.0,20.0,0,0,0,0,0,0,0,0,1,0
1.0,14.7,437.0,592.0,20.0,0,0,0,0,0,0,0,0,1,0
2.0,10.5,892.0,490.0,20.0,0,0,0,0,0,1,0,0,0,0
2.0,22.5,892.0,490.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,22.5,592.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,18.5,500.0,20.0,10.0,0,0,1,0,0,0,0,0,0,0
1.0,17.5,592.0,592.0,20.0,1,0,0,0,0,0,0,0,0,0
1.0,18.5,592.0,592.0,20.0,0,0,1,0,0,0,0,0,0,0
1.0,15.5,892.0,490.0,20.0,0,0,0,0,0,1,0,0,0,0
1.0,22.5,892.0,490.0,20.0,1,0,0,0,0,0,0,0,0,0
20.0,17.5,495.0,495.0,95.0,0,0,0,0,0,0,0,0,1,0
