company_name,quote_id,description,qty,unit_price
Race,18622,Filtros MV/G4.490.490.48,1.0,7.0
Race,18622,Filtros MV/G4.592.592.48,40.0,7.5
Race,18622,Filtros MV/G4.287.592.48,12.0,6.0
Race,18622,Filtros MV/M5.490.490.48,1.0,9.0
Race,18622,Filtros F7/PL.592.592.48,2.0,27.5
Race,18622,Filtros F7/PL.287.592.48,2.0,19.5
Theedgegroup,18593,Filtros MV/G4.710.335.48,6.0,19.5
KMG,18458,Filtros MV/G4.495.490.45,1.0,7.25
KMG,18458,Filtros MV/G4.495.390.45,7.0,6.75
KMG,18458,Filtros MV/G4.592.592.45,6.0,7.5
KMG,18458,Filtros M6.592.592.360.25.6,3.0,14.25
KMG,18458,Filtros M6.592.490.360.25.5,3.0,12.95
KMG,18458,Filtros M6.287.490.360.25.3,1.0,11.95
Auchan Amadora,22292,Filtros F7/RG.490.592.292,7.0,49.5
Auchan Amadora,22292,Filtros MP/G4.300.300.20,1.0,6.8
Auchan Amadora,22292,Filtros MV/G4.592.287.98,1.0,12.5
Auchan Amadora,22292,Filtros MV/G4.592.592.48,60.0,8.5
Auchan Amadora,22292,Filtros MP/G4.960.263.20,1.0,9.5
Auchan Amadora,22292,Filtros MV/G4.625.400.45,6.0,7.95
Auchan Amadora,22292,Filtros MV/G4.592.287.48,20.0,6.5
Auchan Amadora,22292,Filtros MP/G4.450.440.20,2.0,7.15
Auchan Amadora,22292,Filtros F7/RG.592.592.292,35.0,52.5
TECCI,22281,Filtros MV/G4.540.475.48,2.0,8.5
TECCI,22281,Filtro F7/PL.540.475.48,1.0,34.5
TECCI,22281,Filtros MV/G4.287.287.48,2.0,5.5
TECCI,22281,Filtros MV/G4.395.395.48,1.0,7.25
TECCI,22281,Filtros MV/G4.490.490.48,1.0,7.5
TECCI,22281,Filtros F7/PL.287.287.48,2.0,12.5
TECCI,22281,Filtros F7/PL.395.395.48,1.0,17.5
TECCI,22281,Filtros F7/PL.490.490.48,1.0,21.5
TECCI,22281,Filtros F7/PL.625.500.48,24.0,35.5
Macrisan,18629,Cilindros CA 160.400,15.0,32.5
ATM,18603,Filtros G4.592.592.360.25.4,32.0,11.5
ATM,18603,Filtros G4.592.892.360.25.6,16.0,14.0
ATM,18603,Filtros F7.592.592.360.25.8,16.0,15.5
ATM,18603,Filtros F7.592.892.380.25.6,8.0,25.5
ATM,18603,Filtros F7.287.892.380.25.12,2.0,14.99
ATM,18603,Filtros F7.592.892.380.25.12,4.0,32.5
ATM,18603,Filtros F7.592.592.380.25.12,1.0,20.5
ATM,18603,Filtros F7/PL.430.490.96,1.0,48.5
ATM,18603,Filtros MV/G4.430.490.48,1.0,8.5
ATM,18603,Rolo manta G4 . 20.2 mts,1.0,110.0
Race,18596,Filtros F7.592.592.300.25.8,18.0,14.0
ATM,18602,Filtros G4.592.892.360.25.4,24.0,14.99
ATM,18602,Filtros F7.592.892.380.25.6,12.0,24.99
TRM,22282,MV/G4.592.592.48,6.0,8.5
TRM,22282,F7.592.592.500.25.6,6.0,17.5
TRM,22282,MV/G4.287.592.48,2.0,6.5
TRM,22282,MV/G4.592.592.48,4.0,8.5
TRM,22282,MV/G4.287.592.48,1.0,6.5
TRM,22282,MV/G4.592.592.48,1.0,8.5
TRM,22282,TPCGALV.592.592.47,2.0,18.5
TRM,22282,F7.592.592.24,2.0,32.5
TRM,22282,Cilindros CA,13.0,62.5
Certifiltra,18614,Filtro F9/RG.592.592.292,1.0,57.5
Certifiltra,18614,Filtro F9/RG.592.287.292,1.0,42.5
Certifiltra,18614,Filtro M6/PL.592.287.48,1.0,25.5
Certifiltra,18614,Filtro M6/PL.592.592.48,1.0,32.5
Faclima,18591,Filtros MP/G3.(1095.185.15)/2,1.0,12.5
Faclima,18591,Filtros MP/G3.(895.185.15)/2,9.0,10.5
Faclima,18591,Filtros MP/G3.(695.185.15)/2,10.0,9.5
Auchan,18626,Filtros F7.592.592.550.25.8,102.0,15.5
Auchan,18626,Filtros.F7.287.592.550.25.4,10.0,12.5
Auchan,18626,Filtros MV/G4.592.592.45,66.0,8.0
Auchan,18626,Filtros MV/G4.287.592.45,12.0,6.5
C.Aramus,220608,1300x180x10,40.0,7.15
C.Aramus,220608,1060x190x10,45.0,6.9
C.Aramus,220608,1255x190x10,25.0,7.05
C.Aramus,220608,1455x190x10,15.0,7.5
C.Aramus,220608,1190x250x20,11.0,6.99
C.Aramus,220608,1085x230x3,1.0,10.5
C.Aramus,220608,960x200x10,1.0,9.5
C.Aramus,220608,1665x190x10,1.0,17.5
Granjair,18624,Filtros F7.490.390.500.25.4,12.0,14.5
Granjair,18624,Filtros F7.490.740.500.25.4,6.0,24.5
Granjair,18624,Filtros F7.740.370.600.25.6,2.0,17.5
Granjair,18624,Filtros F7.592.592.550.25.8,12.0,15.5
Race,18557,Filtros M5.592.592.360.25.6 ,55.0,12.5
Race,18557,Filtros M5.287.592.360.25.3 ,39.0,9.9
Race,18557,Filtros F7.592.592.635.25.7,29.0,15.5
Race,18557,Filtros F7.287.592.635.25.4,18.0,12.0
Race,18557,Filtros M5.287.287.360.25.3,8.0,9.5
Race,18557,Filtros F7.287.287.635.25.3,4.0,10.5
Race,18595,Filtros MV/G4.592.592.48 ,1.0,7.5
Race,18595,Filtros MV/G4.592.592.48 ,18.0,7.5
Race,18595,Filtros MV/G4.660.820.150,1.0,45.0
Race,18595,Filtros MV/G4.585.525.100,1.0,12.5
Race,18595,Filtros MV/G4.485.420.45,2.0,7.5
Race,18595,Filtros MV/G4.480.545.45,1.0,8.25
Race,18595,Filtros Bolsas F7.592.592.25,18.0,14.5
Lennox,22260,Filtros F7.287.592.670.7,2.0,16.5
Lennox,22260,Filtros F7.592.287.670.3,4.0,15.5
Lennox,22260,Filtros F7.592.592.520.6,16.0,17.5
Lennox,22260,Filtros F7.287.592.670.5,10.0,18.5
Lennox,22260,Filtros F7.592.592.670.10,10.0,24.5
Lennox,22260,Filtros F7.592.592.670.6,4.0,19.5
Lennox,22260,Filtros MV/G4.395.395.48,1.0,7.25
Lennox,22260,Filtros MV/G4.592.592.45,8.0,9.5
Lennox,22260,Filtros MV/G4.287.592.45,4.0,6.5
CENTROASSIST,22254,MV/G4.735.600.48,1.0,
CENTROASSIST,22254,MV/G4.915.538.48,4.0,
CENTROASSIST,22254,MV/G4.612.744.48,1.0,
CENTROASSIST,22254,MV/G4.920.735.48,1.0,
CENTROASSIST,22254,F7.435.592.   .25.,3.0,
CENTROASSIST,22254,F7.592.287.   .25.,2.0,
CENTROASSIST,22254,F7.287.435.   .25.,1.0,
CENTROASSIST,22254,F7.287.592.   .25.,2.0,
CENTROASSIST,22254,F7.287.287.   .25.,1.0,
CENTROASSIST,22254,F7.595.625.   .25.,1.0,
CENTROASSIST,22254,F7.595.285.   .25.,1.0,
CENTROASSIST,22254,F7.625.438.   .25.,1.0,
CENTROASSIST,22254,F7.287.438.   .25.,1.0,
CENTROASSIST,22254,F7.592.595.   .25.,1.0,
CENTROASSIST,22254,F7.438.592.   .25.,1.0,
CENTROASSIST,22254,F7.438.292.   .25.,1.0,
CENTROASSIST,22254,MV/G4.800.500.48,16.0,
Frostline,18589,F7.590.590.25.2.500,82.0,807.5
RACE,18620,Filtros F7.592.592.534.25.8,20.0,15.5
RACE,18620,Filtros MV/G4.625.550.47,2.0,10.5
JPClima,18580,Filtros MV/G4.625.500.48,4.0,9.95
JPClima,18580,Filtros PL/F7.530.505.98,6.0,47.0
JPClima,18580,Filtros MV/G4.530.505.48,6.0,9.95
Universidade Nova de Lisboa - FCT,22293,Filtros MV/G4.655.700.98,2.0,37.5
TECCI,22279,Filtros MV/G4.500.530.48,18.0,8.5
TECCI,22279,Filtros F7/PL.500.530.98,18.0,47.5
TECCI,22279,Filtros MV/G4.625.500.48,8.0,8.5
TECCI,22279,Filtros F7/PL.625.500.48,8.0,37.5
TECCI,22279,Filtro MV/G4.592.592.48,1.0,8.5
Engie,22261,Filtros F7.592.592.330.25.7,9.0,17.5
Engie,22261,Filtros G4.592.592.360.25.4,9.0,12.95
Race,18590,Filtros MV/G4.287.592.48 ,2.0,6.5
Race,18590,Filtros MV/G4.490.592.48,10.0,7.5
Azinor,18612,F7.592.592.500.25.8,142.0,14.5
Azinor,18612,F7.287.592.500.25.4,75.0,12.5
Azinor,18612,F7/RG.592.592.292,34.0,52.5
Azinor,18612,F7/RG.592.287.292,16.0,37.5
Azinor,18612,F7.287.287.500.25.4,20.0,12.0
Azinor,18612,Rolos G4 20.2 mts,2.0,110.0
VALINOX,22256,MV/G4.430.460.95,6.0,
VALINOX,22256,F7.592.290.535.25.6,2.0,
VALINOX,22256,F7.592.592.535.25.6,2.0,
VALINOX,22256,H11.305.610.68,2.0,
VALINOX,22256,MV/G4.360.260.45,12.0,
VALINOX,22256,MV/G4.465.465.45,2.0,
VALINOX,22256,F7/PL.940.245.48,1.0,
VALINOX,22256,MP/G4.1050.170.5,6.0,
VALINOX,22256,MP/G4.650.170.5,10.0,
VALINOX,22256,MP/G4.1250.170.5,3.0,
VALINOX,22256,MP/G4.850.170.5,22.0,
VALINOX,22256,MP/G4.1450.170.5,4.0,
RACE,18625,Filtros MV/G4.500.530.50,16.0,7.5
RACE,18625,Filtros F7/PL.500.530.98,16.0,42.5
KINGMAN,22255,MV/G4.620.400.45,8.0,
KINGMAN,22255,F7.952.287.500.20.6,2.0,
KINGMAN,22255,F7.952.952.500.20.8,2.0,
KINGMAN,22255,MV/G4.592.287.48,1.0,
KINGMAN,22255,MV/G4.592.592.48,3.0,
KINGMAN,22255,F7.592.287.500.20.3,1.0,
KINGMAN,22255,F7.592.592.500.20.6,3.0,
KINGMAN,22255,MV/G4.592.292.48,1.0,
KINGMAN,22255,F7.592.292.500.20.3,1.0,
Tempo Analógico,18613,Filtros MP/G4.970.565.7,12.0,12.99
Tempo Analógico,18613,Filtros MP/G4.695.570.7,32.0,10.5
Tempo Analógico,18613,Filtros MP/G4.570.570.7,32.0,9.4
Tempo Analógico,18613,Filtros MP/G4.675.575.7,40.0,10.6
Tempo Analógico,18613,Filtros MV/G4.740.395.48,4.0,10.75
Auchan,18597,Filtros F7.592.592.550.25.8 ,12.0,15.5
Auchan,18597,Filtros MV/G4.600.590.48,24.0,9.25
Auchan,18597,Filtros MP/G3.735.230.10,4.0,7.25
Certifiltra,18599,Filtros MV/G4.592.592.45,14.0,7.5
Certifiltra,18599,Filtros MV/G4.592.287.45,16.0,5.75
Certifiltra,18598,Filtros F9.592.592.300.25.8,8.0,14.5
Certifiltra,18598,Filtros F9.287.592.300.25.4,7.0,10.5
Race,18632,Filtros MV/G4.500.625.48,12.0,7.75
Race,18632,Filtros MV/G4.500.450.48,6.0,7.5
C.Sotécnica,220608,M5.592.490.48,,
C.Sotécnica,220608,M5.592.490.96,,
C.Sotécnica,220608,F7.592.490.275,,
ANA,18574,Filtros MV/G4.592.592.48 ,4.0,8.15
ANA,18574,Filtros F9.592.592.500.25.10,36.0,19.5
ANA,18574,Filtros G4.592.592.300.25.4,8.0,11.5
ANA,18574,Filtros F7.592.592.635.25.8,12.0,15.5
ANA,18574,Filtros M5.592.592.500.25.8,12.0,14.5
ANA,18574,Filtros M5.492.492.500.25.5,12.0,14.0
ANA,18574,Filtros F7.492.492.635.25.5,12.0,14.75
C.ATM,220615,G2.675.200.20   2   5.5,,
C.ATM,220615,G4.480.757.48   4   10.5,,
C.ATM,220615,G4.480.420.48 1 7.8,,
C.ATM,220615,G4.490.490.45 4 7.5,,
C.ATM,220615,G4.490.592.48 38 7.75,,
C.ATM,220615,G4.500.625.48 4 7.75,,
C.ATM,220615,G4.535.470.45 1 7.25,,
C.ATM,220615,G4.590.520.98 2 12.5,,
C.ATM,220615,G4.590.800.48 2 12.5,,
C.ATM,220615,G4.592.592.48 1 8.5,,
C.ATM,220615,G4.645.470.45 2 8.5,,
C.ATM,220615,G4.690.370.35 4 7.75,,
C.ATM,220615,G4.800.590.48 1 9.9,,
C.ATM,220615,G4.920.865.48 1 14.5,,
C.ATM,220615,G4.940.470.48 2 11.5,,
C.ATM,220615,G4.960.260.10 1 6.5,,
C.ATM,220615,G7.435.287.360.4.20 1 14.5,,
C.ATM,220615,G7.592.435.360.5.20 1 15.5,,
C.ATM,220615,M5.370.120.46 6 5.5,,
C.ATM,220615,M5.392.797.500.4.20 8 18.5,,
C.ATM,220615,M5.490.490.500.6.20 4 15.5,,
C.ATM,220615,F7.490.592.96 18 42.5,,
C.ATM,220615,F7.500.530.98 6 42.5,,
C.ATM,220615,G4.490.592.50 18 7.75,,
C.ATM,220615,G4.500.530.48 6 7.75,,
C.ATM,220615,G4.625.500.45 4 8.5,,
C.ATM,220615,G4.625.510.48 3 8.5,,
ATM VW,18619,Filtros G4.592.592.600.25.4,120.0,12.99
ATM VW,18619,Filtros G4.592.287.600.25.4,40.0,12.5
ATM VW,18619,Filtros M5.592.287.600.25.4,8.0,12.25
Auchan,18605,Filtros MV/G4.800.500.48,60.0,9.5
Auchan,18605,Filtros MV/G4.495.395.48,16.0,7.25
Auchan,18605,Filtros MV/G4.1860.330.48,3.0,17.5
Auchan,18605,Filtros MP/G4.600.620.20,2.0,8.0
Auchan,18605,Filtros MP/G4.1050.280.10,1.0,10.5
Auchan,18605,Filtros MV/G4.620.400.48,3.0,7.5
SIBS,18627,MV/G4.772.372.60,36.0,9.5
SIBS,18627,MV/G4.350.590.50,2.0,7.75
SIBS,18627,MV/G4.420.590.50,2.0,8.25
SIBS,18627,F7.280.590.250.25.4,2.0,14.5
SIBS,18627,MP/G4.580.525.20,6.0,6.5
