company_name,quote_id,qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
ANA,18313.0,6.0,8.25,592.0,280.0,98.0,0,0,0,0,0,1,0,0,0,0
ANA,18313.0,8.0,9.5,592.0,287.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18313.0,3.0,8.95,287.0,287.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18314.0,2.0,8.5,785.0,180.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18322.0,6.0,8.75,507.0,517.0,48.0,0,0,0,0,0,1,0,0,0,0
ANA,18368.0,3.0,24.5,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18380.0,24.0,11.5,592.0,592.0,25.0,0,0,0,0,0,1,0,0,0,0
ANA,18387.0,30.0,5.95,1100.0,185.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18387.0,36.0,5.95,1100.0,185.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18387.0,12.0,5.95,1070.0,205.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18387.0,4.0,5.5,900.0,175.0,10.0,0,0,0,0,1,0,0,0,0,0
ANA,18387.0,10.0,6.95,760.0,215.0,5.0,0,0,0,0,1,0,0,0,0,0
ANA,18405.0,3.0,14.0,592.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,11.5,287.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,14.0,592.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,11.5,287.0,287.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,16.5,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18405.0,3.0,12.5,287.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18405.0,3.0,17.0,870.0,390.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,24.5,870.0,390.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18405.0,3.0,12.9,592.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,11.0,287.0,592.0,25.0,0,0,0,0,0,0,0,0,1,0
ANA,18405.0,3.0,15.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
ANA,18405.0,3.0,11.0,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
